"id (N)","averagegrade (N)","courseid (N)","studentid (N)"
"2","0","4","8"
"3","0","4","10"
"6","0","3","3"
"8","3.6333333333333333","2","3"
"12","3.6","2","8"
"13","4","2","7"
"14","3.1399999999999997","2","10"
"16","3.864285714285714","2","13"
"17","0","2","14"
"18","4","7","34"
"19","3.65","7","3"
"20","3.983333333333333","7","1"
"21","3.9000000000000004","7","16"
"22","3.8857142857142852","8","13"
"23","3.875","8","17"
"24","3.7099999999999995","8","19"
"25","4","8","18"
"26","3.9000000000000004","6","16"
"27","0","6","1"
"28","3.7","6","10"
"29","0","6","13"
"31","3.864285714285714","4","13"
"32","0","6","15"
"33","0","7","20"
"34","3.2","7","18"
"35","3.864285714285714","9","13"
"36","3.4749999999999996","9","2"
"37","3.983333333333333","9","1"
"38","0","5","10"
"39","0","5","15"
"40","0","5","20"
"41","0","5","26"
"42","3.9","10","1"
"43","3.65","10","3"
"44","3.8125","10","19"
"45","0","10","30"
"46","0","10","22"
"47","true","11","16"
"48","true","10","2"
